alpha,condition_number,trial,rho,lambda,pinv_error,tikhonov_error,pinv_amplification,tikhonov_amplification
2,100,0,0.001,1e-06,0.012019611554991533,0.01194498440920659,12.019611554991533,11.944984409206588
2,100,1,0.001,1e-06,0.01167585474362236,0.011643913775234807,11.67585474362236,11.643913775234807
2,100,2,0.001,1e-06,0.010123217591501166,0.010136940937911825,10.123217591501167,10.136940937911826
2,100,3,0.001,1e-06,0.011766765799621152,0.012540946039259827,11.76676579962115,12.540946039259824
2,100,4,0.001,1e-06,0.010412758548344829,0.010316178934961983,10.41275854834483,10.316178934961982
2,100,5,0.001,1e-06,0.012838090130750705,0.012087057494255064,12.838090130750706,12.087057494255063
2,100,6,0.001,1e-06,0.014278411207123825,0.014051340484749387,14.278411207123824,14.051340484749387
2,100,7,0.001,1e-06,0.010000066888487839,0.009601381625728798,10.000066888487838,9.601381625728797
2,100,8,0.001,1e-06,0.011046655430597309,0.011279244805671476,11.046655430597308,11.279244805671476
2,100,9,0.001,1e-06,0.011081995544609214,0.01149957764593606,11.081995544609214,11.49957764593606
2,100,10,0.001,1e-06,0.011569317643820864,0.01153082399280091,11.569317643820863,11.53082399280091
2,100,11,0.001,1e-06,0.011709327885699183,0.011628495038471557,11.709327885699182,11.628495038471556
2,100,12,0.001,1e-06,0.011972432264810158,0.011562688663982922,11.972432264810157,11.562688663982922
2,100,13,0.001,1e-06,0.01181267022748311,0.012275742148532139,11.812670227483109,12.275742148532139
2,100,14,0.001,1e-06,0.009717035717905992,0.009922565579470646,9.717035717905992,9.922565579470646
2,100,15,0.001,1e-06,0.013448386675727859,0.014402067474726074,13.448386675727859,14.402067474726074
2,100,16,0.001,1e-06,0.009594395797570415,0.01084211121317434,9.594395797570414,10.842111213174341
2,100,17,0.001,1e-06,0.01097131509937968,0.010709634776787776,10.97131509937968,10.709634776787775
2,100,18,0.001,1e-06,0.01095687621525901,0.01069396114394338,10.956876215259008,10.69396114394338
2,100,19,0.001,1e-06,0.0129083037969287,0.013609151203700669,12.9083037969287,13.60915120370067
4,10000,0,0.001,1e-06,0.6311592315981011,0.42319502709947227,631.1592315981011,423.19502709947227
4,10000,1,0.001,1e-06,0.5019475660665521,0.4560031553254665,501.9475660665521,456.0031553254665
4,10000,2,0.001,1e-06,0.5107130204720952,0.42992528205870295,510.7130204720952,429.9252820587029
4,10000,3,0.001,1e-06,0.5466488799312766,0.4384706161038042,546.6488799312765,438.4706161038041
4,10000,4,0.001,1e-06,0.36816452639444935,0.5413902649401172,368.16452639444935,541.3902649401172
4,10000,5,0.001,1e-06,0.6541672057688981,0.4004349732413503,654.167205768898,400.4349732413503
4,10000,6,0.001,1e-06,0.5594100518688034,0.4189189555443159,559.4100518688034,418.9189555443159
4,10000,7,0.001,1e-06,0.6765585719884203,0.4334554172529089,676.5585719884202,433.45541725290894
4,10000,8,0.001,1e-06,0.7061841046928202,0.47426803903690984,706.1841046928203,474.26803903690984
4,10000,9,0.001,1e-06,0.3842887685563469,0.47845462721442517,384.2887685563469,478.45462721442516
4,10000,10,0.001,1e-06,0.36314661474633586,0.4012338752842595,363.14661474633584,401.2338752842595
4,10000,11,0.001,1e-06,0.6178692372872759,0.44202260577113983,617.8692372872758,442.02260577113975
4,10000,12,0.001,1e-06,0.581659508997729,0.44753836927246204,581.6595089977288,447.5383692724619
4,10000,13,0.001,1e-06,0.5068985462366559,0.4939485479298547,506.898546236656,493.9485479298548
4,10000,14,0.001,1e-06,0.7700455028990276,0.4659809302014969,770.0455028990276,465.9809302014969
4,10000,15,0.001,1e-06,0.39821551797313076,0.4378159385206977,398.2155179731308,437.8159385206977
4,10000,16,0.001,1e-06,0.638095278750303,0.4294224229792265,638.095278750303,429.4224229792265
4,10000,17,0.001,1e-06,0.45362441531059594,0.3597345352076302,453.6244153105959,359.7345352076302
4,10000,18,0.001,1e-06,0.6339039972160183,0.5121270022700763,633.9039972160183,512.1270022700763
4,10000,19,0.001,1e-06,0.511415776892516,0.43513195010726546,511.4157768925159,435.13195010726537
6,1000000,0,0.001,1e-06,28.875697757744376,0.6679867058572465,28875.697757744376,667.9867058572465
6,1000000,1,0.001,1e-06,43.24301743361791,0.644978606545514,43243.01743361792,644.9786065455141
6,1000000,2,0.001,1e-06,46.97498781867391,0.6581252683355387,46974.98781867391,658.1252683355387
6,1000000,3,0.001,1e-06,48.9197590241786,0.6574644392267288,48919.7590241786,657.4644392267288
6,1000000,4,0.001,1e-06,42.198157442398255,0.6470370867151809,42198.15744239825,647.0370867151809
6,1000000,5,0.001,1e-06,32.22764552332571,0.6819230760787924,32227.64552332571,681.9230760787924
6,1000000,6,0.001,1e-06,56.17596903995518,0.7520793554619208,56175.96903995516,752.0793554619206
6,1000000,7,0.001,1e-06,35.10150658202542,0.6288639238200789,35101.506582025424,628.863923820079
6,1000000,8,0.001,1e-06,34.811966472056355,0.7073416584838168,34811.96647205636,707.3416584838169
6,1000000,9,0.001,1e-06,33.21261530927131,0.7227628843752307,33212.615309271314,722.7628843752309
6,1000000,10,0.001,1e-06,33.09131071131668,0.7043087534181766,33091.31071131668,704.3087534181766
